trip_id,pickup_datetime,dropoff_datetime,pickup_location,dropoff_location,fare_amount,distance_km,driver_id,customer_id,ride_status,payment_type,vehicle_type,surge_multiplier,rating,weather_condition,trip_duration,hour,day,month,is_weekend,revenue,revenue_per_km
144,2023-04-03 21:27:00,2023-04-03 21:50:00,Pune,Pune,314.93,10.71,1958,9302,completed,upi,mini,1.0,3.5,Storm,23.0,21,Monday,4,0,314.93,29.405228758169933
153,2023-03-31 19:12:00,2023-03-31 20:17:00,Delhi,Delhi,109.82,12.88,1048,5504,completed,cash,mini,1.0,4.0,Storm,65.0,19,Friday,3,0,109.82,8.526397515527949
165,2023-09-18 21:53:00,2023-09-18 22:18:00,Chennai,Chennai,356.43,1.38,1467,5800,completed,cash,sedan,1.5,3.4,Clear,25.0,21,Monday,9,0,534.645,387.42391304347825
190,2023-09-17 02:53:00,2023-09-17 03:01:00,Bangalore,Bangalore,442.84,21.35,1133,8665,completed,upi,sedan,1.5,4.3,Fog,8.0,2,Sunday,9,1,664.26,31.112880562060887
192,2023-03-26 11:06:00,2023-03-26 11:15:00,Bangalore,Bangalore,231.23,10.8,1851,8341,completed,cash,mini,1.2,3.5,Fog,9.0,11,Sunday,3,1,277.476,25.69222222222222
193,2023-03-24 18:16:00,2023-03-24 19:14:00,Chennai,Chennai,493.14,20.18,1471,6620,cancelled,card,sedan,1.0,4.4,Fog,58.0,18,Friday,3,0,493.14,24.43706640237859
194,2023-10-01 05:02:00,2023-10-01 06:16:00,Bangalore,Bangalore,211.25,14.49,1664,5847,completed,card,sedan,1.0,4.2,Clear,74.0,5,Sunday,10,1,211.25,14.579020013802623
195,2023-06-01 11:26:00,2023-06-01 12:27:00,Pune,Pune,277.12,8.66,1846,8419,completed,card,mini,1.2,4.6,Clear,61.0,11,Thursday,6,0,332.544,38.4
204,2023-03-26 18:56:00,2023-03-26 19:52:00,Bangalore,Bangalore,406.99,15.36,1749,8146,completed,upi,sedan,1.0,3.5,Clear,56.0,18,Sunday,3,1,406.99,26.496744791666668
206,2023-05-09 17:00:00,2023-05-09 18:14:00,Mumbai,Mumbai,497.17,24.46,1326,9775,completed,cash,mini,1.0,4.4,Clear,74.0,17,Tuesday,5,0,497.17,20.325838103025347
211,2023-03-15 12:38:00,2023-03-15 13:45:00,Bangalore,Bangalore,404.93,5.65,1760,6327,completed,upi,mini,1.0,4.6,Clear,67.0,12,Wednesday,3,0,404.93,71.66902654867256
212,2023-05-21 23:02:00,2023-05-22 00:24:00,Chennai,Chennai,306.55,5.41,1267,9809,cancelled,card,sedan,1.0,4.0,Rain,82.0,23,Sunday,5,1,306.55,56.66358595194085
217,2023-04-25 12:19:00,2023-04-25 12:28:00,Delhi,Delhi,377.05,3.59,1680,7963,completed,upi,suv,1.2,3.7,Clear,9.0,12,Tuesday,4,0,452.46,126.03342618384401
218,2023-11-08 19:56:00,2023-11-08 20:47:00,Delhi,Delhi,113.09,14.72,1027,9246,completed,upi,sedan,1.0,4.7,Clear,51.0,19,Wednesday,11,0,113.09,7.682744565217392
219,2023-08-14 12:47:00,2023-08-14 13:27:00,Bangalore,Bangalore,356.78,24.98,1789,9540,completed,cash,mini,1.0,4.7,Storm,40.0,12,Monday,8,0,356.78,14.282626100880703
223,2023-09-21 21:09:00,2023-09-21 21:32:00,Chennai,Chennai,171.49,18.49,1529,9332,cancelled,cash,suv,1.0,4.9,Fog,23.0,21,Thursday,9,0,171.49,9.274743104380748
226,2023-09-15 21:29:00,2023-09-15 22:04:00,Hyderabad,Hyderabad,471.7,1.07,1205,9894,completed,card,sedan,2.0,3.7,Clear,35.0,21,Friday,9,0,943.4,881.6822429906541
228,2023-10-30 14:53:00,2023-10-30 15:41:00,Hyderabad,Hyderabad,372.28,7.43,1905,6162,completed,upi,suv,2.0,4.7,Clear,48.0,14,Monday,10,0,744.56,100.20995962314939
233,2023-09-06 04:43:00,2023-09-06 04:51:00,Chennai,Chennai,211.71,12.81,1046,5768,completed,upi,suv,1.0,3.1,Storm,8.0,4,Wednesday,9,0,211.71,16.526932084309134
234,2023-06-18 23:07:00,2023-06-18 23:50:00,Hyderabad,Hyderabad,403.97,1.46,1395,9492,completed,card,mini,1.2,3.9,Rain,43.0,23,Sunday,6,1,484.764,332.0301369863014
237,2023-11-04 01:01:00,2023-11-04 01:54:00,Delhi,Delhi,273.34,24.96,1149,7631,cancelled,card,sedan,1.0,4.8,Clear,53.0,1,Saturday,11,1,273.34,10.951121794871794
238,2023-10-30 21:17:00,2023-10-30 21:36:00,Bangalore,Bangalore,328.02,22.64,1178,5626,completed,upi,suv,2.0,4.0,Clear,19.0,21,Monday,10,0,656.04,28.977031802120138
252,2023-04-06 17:28:00,2023-04-06 18:33:00,Mumbai,Mumbai,467.87,3.26,1042,6635,completed,upi,suv,1.2,3.0,Fog,65.0,17,Thursday,4,0,561.444,172.22208588957056
254,2023-03-30 20:28:00,2023-03-30 21:50:00,Mumbai,Mumbai,319.08,19.7,1370,8174,completed,card,suv,1.0,4.3,Storm,82.0,20,Thursday,3,0,319.08,16.196954314720813
256,2023-10-07 15:30:00,2023-10-07 16:22:00,Pune,Pune,498.82,9.37,1645,5295,cancelled,upi,mini,1.0,3.3,Storm,52.0,15,Saturday,10,1,498.82,53.2358591248666
263,2023-07-04 15:32:00,2023-07-04 15:53:00,Hyderabad,Hyderabad,63.4,9.55,1845,6265,completed,card,mini,1.2,3.5,Rain,21.0,15,Tuesday,7,0,76.08,7.966492146596858
268,2023-11-16 00:55:00,2023-11-16 01:34:00,Hyderabad,Hyderabad,213.19,13.68,1077,6483,completed,upi,sedan,1.5,4.7,Fog,39.0,0,Thursday,11,0,319.78499999999997,23.37609649122807
271,2023-09-05 00:21:00,2023-09-05 01:15:00,Chennai,Chennai,482.56,18.95,1580,7137,completed,cash,suv,1.2,3.9,Rain,54.0,0,Tuesday,9,0,579.072,30.557889182058048
289,2023-05-31 11:28:00,2023-05-31 11:55:00,Delhi,Delhi,492.07,10.29,1340,7192,completed,cash,mini,1.0,3.8,Storm,27.0,11,Wednesday,5,0,492.07,47.82021379980564
290,2023-06-28 10:31:00,2023-06-28 11:44:00,Pune,Pune,333.11,22.48,1480,8647,completed,upi,mini,1.0,3.1,Clear,73.0,10,Wednesday,6,0,333.11,14.81806049822064
291,2023-03-06 18:24:00,2023-03-06 19:21:00,Pune,Pune,119.45,21.77,1629,7688,completed,card,mini,1.2,3.9,Storm,57.0,18,Monday,3,0,143.34,6.584290307762977
293,2023-07-20 14:40:00,2023-07-20 15:02:00,Hyderabad,Hyderabad,113.6,18.16,1074,7471,completed,card,suv,1.2,4.3,Rain,22.0,14,Thursday,7,0,136.32,7.506607929515418
304,2023-05-04 11:09:00,2023-05-04 12:06:00,Chennai,Chennai,465.48,12.46,1897,9879,cancelled,cash,suv,1.0,3.9,Fog,57.0,11,Thursday,5,0,465.48,37.35794542536115
305,2023-12-23 08:33:00,2023-12-23 09:15:00,Mumbai,Mumbai,458.12,14.15,1400,9132,completed,card,sedan,1.2,4.8,Fog,42.0,8,Saturday,12,1,549.744,38.85116607773852
306,2023-06-01 12:04:00,2023-06-01 12:28:00,Pune,Pune,391.4,6.97,1895,7922,completed,cash,mini,1.0,4.5,Rain,24.0,12,Thursday,6,0,391.4,56.15494978479197
314,2023-05-08 14:14:00,2023-05-08 15:32:00,Pune,Pune,259.81,7.22,1910,7269,completed,card,suv,1.0,3.3,Rain,78.0,14,Monday,5,0,259.81,35.98476454293629
328,2023-03-18 10:38:00,2023-03-18 11:25:00,Delhi,Delhi,369.84,24.3,1612,8150,completed,upi,sedan,1.0,4.0,Clear,47.0,10,Saturday,3,1,369.84,15.219753086419752
345,2023-01-25 03:14:00,2023-01-25 03:28:00,Delhi,Delhi,149.21,10.59,1789,7739,completed,card,mini,1.0,3.6,Fog,14.0,3,Wednesday,1,0,149.21,14.089707271010388
353,2023-02-28 22:56:00,2023-02-28 23:51:00,Bangalore,Bangalore,384.92,15.86,1083,6312,completed,upi,mini,1.0,3.2,Clear,55.0,22,Tuesday,2,0,384.92,24.26986128625473
355,2023-02-19 12:15:00,2023-02-19 12:50:00,Pune,Pune,283.16,16.93,1487,8674,completed,card,suv,1.5,4.9,Rain,35.0,12,Sunday,2,1,424.74,25.08800945067927
373,2023-09-07 03:05:00,2023-09-07 03:37:00,Bangalore,Bangalore,270.64,16.8,1450,6563,completed,upi,suv,1.0,4.0,Clear,32.0,3,Thursday,9,0,270.64,16.109523809523807
379,2023-04-03 10:41:00,2023-04-03 12:00:00,Pune,Pune,291.39,15.69,1466,6876,completed,card,mini,1.0,4.3,Clear,79.0,10,Monday,4,0,291.39,18.5717017208413
389,2023-05-01 21:28:00,2023-05-01 22:42:00,Mumbai,Mumbai,495.86,2.5,1026,5770,completed,cash,sedan,1.0,4.5,Clear,74.0,21,Monday,5,0,495.86,198.344
393,2023-01-11 12:31:00,2023-01-11 13:35:00,Mumbai,Mumbai,308.36,19.96,1237,9173,completed,card,suv,1.0,4.9,Clear,64.0,12,Wednesday,1,0,308.36,15.448897795591183
398,2023-09-23 23:49:00,2023-09-24 00:34:00,Pune,Pune,78.35,3.0,1795,6447,completed,card,sedan,1.0,4.4,Storm,45.0,23,Saturday,9,1,78.35,26.116666666666664
404,2023-09-20 20:00:00,2023-09-20 20:06:00,Hyderabad,Hyderabad,336.67,16.16,1458,8427,completed,card,sedan,1.0,4.9,Fog,6.0,20,Wednesday,9,0,336.67,20.833539603960396
406,2023-07-05 21:23:00,2023-07-05 22:00:00,Delhi,Delhi,264.18,9.08,1681,6066,completed,card,sedan,1.0,3.4,Fog,37.0,21,Wednesday,7,0,264.18,29.094713656387665
419,2023-05-04 15:27:00,2023-05-04 16:15:00,Bangalore,Bangalore,134.7,18.67,1375,8520,cancelled,cash,mini,1.0,4.0,Fog,48.0,15,Thursday,5,0,134.7,7.21478307445099
429,2023-03-04 16:32:00,2023-03-04 17:24:00,Delhi,Delhi,486.99,8.37,1150,9656,completed,cash,mini,1.5,3.4,Fog,52.0,16,Saturday,3,1,730.485,87.2741935483871
434,2023-11-30 08:47:00,2023-11-30 08:53:00,Delhi,Delhi,184.76,15.46,1544,9180,completed,upi,suv,1.0,3.2,Clear,6.0,8,Thursday,11,0,184.76,11.95084087968952
439,2023-11-02 03:50:00,2023-11-02 04:53:00,Chennai,Chennai,164.97,20.45,1976,5428,completed,card,suv,1.5,3.0,Fog,63.0,3,Thursday,11,0,247.45499999999998,12.100488997555011
443,2023-08-01 15:28:00,2023-08-01 15:44:00,Mumbai,Mumbai,255.71,4.69,1296,7030,completed,card,sedan,1.5,4.3,Fog,16.0,15,Tuesday,8,0,383.565,81.78358208955223
446,2023-03-16 14:50:00,2023-03-16 16:17:00,Chennai,Chennai,354.63,3.23,1950,8167,completed,card,mini,1.2,3.1,Clear,87.0,14,Thursday,3,0,425.556,131.75108359133125
452,2023-03-22 19:41:00,2023-03-22 19:59:00,Mumbai,Mumbai,146.5,3.42,1533,8868,completed,upi,mini,1.0,3.4,Clear,18.0,19,Wednesday,3,0,146.5,42.83625730994152
468,2023-04-05 21:52:00,2023-04-05 22:23:00,Hyderabad,Hyderabad,351.9,18.13,1275,8899,cancelled,card,sedan,1.0,3.9,Clear,31.0,21,Wednesday,4,0,351.9,19.40981798124655
471,2023-04-30 07:56:00,2023-04-30 09:08:00,Bangalore,Bangalore,181.4,13.17,1006,8612,completed,upi,suv,1.0,3.1,Fog,72.0,7,Sunday,4,1,181.4,13.773728170083524
474,2023-11-09 12:51:00,2023-11-09 13:52:00,Bangalore,Bangalore,107.11,1.95,1500,8892,completed,cash,sedan,1.0,4.6,Fog,61.0,12,Thursday,11,0,107.11,54.92820512820513
478,2023-03-15 14:23:00,2023-03-15 14:47:00,Delhi,Delhi,125.43,16.48,1800,5288,completed,cash,sedan,1.5,3.2,Fog,24.0,14,Wednesday,3,0,188.145,11.416565533980583
485,2023-07-27 04:36:00,2023-07-27 04:49:00,Bangalore,Bangalore,335.75,10.67,1156,8826,completed,cash,mini,1.2,3.9,Clear,13.0,4,Thursday,7,0,402.9,37.76007497656982
490,2023-07-25 12:52:00,2023-07-25 13:48:00,Mumbai,Mumbai,444.98,2.94,1496,7605,completed,cash,sedan,1.2,4.7,Storm,56.0,12,Tuesday,7,0,533.976,181.62448979591838
491,2023-10-14 01:27:00,2023-10-14 02:01:00,Delhi,Delhi,108.65,10.21,1654,6827,completed,card,mini,1.5,4.0,Fog,34.0,1,Saturday,10,1,162.97500000000002,15.962291870714987
493,2023-09-07 05:36:00,2023-09-07 05:42:00,Delhi,Delhi,95.34,16.46,1902,7512,completed,card,sedan,1.2,4.2,Storm,6.0,5,Thursday,9,0,114.408,6.950668286755771
497,2023-12-21 21:54:00,2023-12-21 22:26:00,Hyderabad,Hyderabad,495.71,22.34,1584,6117,completed,upi,mini,1.0,4.0,Clear,32.0,21,Thursday,12,0,495.71,22.189346463742165
509,2023-06-26 10:39:00,2023-06-26 11:01:00,Mumbai,Mumbai,110.52,23.28,1486,5435,completed,cash,mini,1.0,3.7,Rain,22.0,10,Monday,6,0,110.52,4.747422680412371
510,2023-01-19 12:01:00,2023-01-19 12:57:00,Chennai,Chennai,113.52,7.63,1183,6373,completed,upi,sedan,1.0,4.8,Rain,56.0,12,Thursday,1,0,113.52,14.878112712975097
522,2023-01-03 18:54:00,2023-01-03 20:16:00,Delhi,Delhi,338.93,12.94,1082,8779,completed,upi,mini,1.5,4.0,Rain,82.0,18,Tuesday,1,0,508.395,39.2886398763524
523,2023-07-09 17:57:00,2023-07-09 18:10:00,Chennai,Chennai,102.27,8.58,1861,8075,completed,cash,suv,1.0,3.6,Clear,13.0,17,Sunday,7,1,102.27,11.919580419580418
525,2023-07-26 21:21:00,2023-07-26 21:43:00,Hyderabad,Hyderabad,74.31,20.8,1303,7803,completed,cash,suv,1.0,3.4,Clear,22.0,21,Wednesday,7,0,74.31,3.572596153846154
542,2023-11-04 13:45:00,2023-11-04 14:58:00,Mumbai,Mumbai,197.54,13.27,1907,7801,completed,upi,sedan,1.5,4.5,Rain,73.0,13,Saturday,11,1,296.31,22.3293142426526
543,2023-06-13 10:42:00,2023-06-13 11:25:00,Pune,Pune,346.19,2.82,1082,6065,completed,card,mini,1.0,3.8,Rain,43.0,10,Tuesday,6,0,346.19,122.76241134751774
553,2023-08-19 21:00:00,2023-08-19 22:29:00,Bangalore,Bangalore,237.65,2.77,1922,8637,completed,card,sedan,1.2,3.4,Fog,89.0,21,Saturday,8,1,285.18,102.95306859205776
572,2023-03-24 12:34:00,2023-03-24 12:50:00,Mumbai,Mumbai,78.32,22.67,1143,5387,completed,card,sedan,1.0,4.7,Fog,16.0,12,Friday,3,0,78.32,3.4547860608734005
573,2023-03-07 04:08:00,2023-03-07 05:30:00,Bangalore,Bangalore,186.98,12.22,1428,5801,completed,card,sedan,1.0,4.7,Fog,82.0,4,Tuesday,3,0,186.98,15.301145662847789
576,2023-03-29 14:21:00,2023-03-29 15:38:00,Chennai,Chennai,235.56,12.13,1815,7715,cancelled,upi,sedan,1.5,3.0,Clear,77.0,14,Wednesday,3,0,353.34000000000003,29.129431162407254
605,2023-11-18 10:54:00,2023-11-18 11:19:00,Chennai,Chennai,310.53,19.0,1186,6668,completed,card,mini,1.0,3.4,Storm,25.0,10,Saturday,11,1,310.53,16.343684210526316
610,2023-06-14 00:15:00,2023-06-14 00:39:00,Delhi,Delhi,80.43,14.86,1841,6734,completed,cash,sedan,1.0,4.4,Clear,24.0,0,Wednesday,6,0,80.43,5.412516823687753
613,2023-07-13 20:43:00,2023-07-13 20:56:00,Pune,Pune,110.15,16.92,1179,6685,completed,upi,mini,1.0,3.5,Clear,13.0,20,Thursday,7,0,110.15,6.510047281323876
615,2023-08-29 02:37:00,2023-08-29 03:19:00,Bangalore,Bangalore,400.18,23.74,1081,8631,completed,card,suv,2.0,3.1,Rain,42.0,2,Tuesday,8,0,800.36,33.71356360572873
618,2023-02-21 06:47:00,2023-02-21 07:32:00,Hyderabad,Hyderabad,298.49,3.36,1746,7909,cancelled,card,suv,1.0,3.2,Rain,45.0,6,Tuesday,2,0,298.49,88.83630952380953
622,2023-03-13 20:41:00,2023-03-13 21:55:00,Hyderabad,Hyderabad,331.21,23.22,1115,7009,completed,upi,sedan,1.0,3.6,Fog,74.0,20,Monday,3,0,331.21,14.263996554694229
627,2023-01-06 18:28:00,2023-01-06 19:18:00,Mumbai,Mumbai,226.06,1.99,1517,6881,completed,card,mini,1.2,4.0,Storm,50.0,18,Friday,1,0,271.272,136.31758793969848
631,2023-06-03 03:52:00,2023-06-03 04:25:00,Mumbai,Mumbai,223.52,6.8,1177,8587,completed,upi,suv,1.0,4.9,Fog,33.0,3,Saturday,6,1,223.52,32.87058823529412
648,2023-09-17 11:12:00,2023-09-17 12:40:00,Bangalore,Bangalore,389.92,10.76,1680,6642,completed,cash,sedan,1.5,4.2,Storm,88.0,11,Sunday,9,1,584.88,54.35687732342007
655,2023-03-20 18:29:00,2023-03-20 19:18:00,Delhi,Delhi,313.07,15.89,1545,8918,completed,upi,suv,1.0,5.0,Fog,49.0,18,Monday,3,0,313.07,19.70232850849591
658,2023-11-21 05:22:00,2023-11-21 06:47:00,Chennai,Chennai,427.65,12.99,1967,7270,completed,cash,mini,1.2,3.6,Fog,85.0,5,Tuesday,11,0,513.18,39.505773672055426
659,2023-05-31 02:19:00,2023-05-31 03:17:00,Hyderabad,Hyderabad,354.41,6.07,1987,9398,cancelled,upi,suv,2.0,4.5,Fog,58.0,2,Wednesday,5,0,708.82,116.77429983525536
661,2023-02-16 16:15:00,2023-02-16 17:11:00,Mumbai,Mumbai,136.33,14.73,1957,6018,cancelled,card,mini,1.0,4.9,Rain,56.0,16,Thursday,2,0,136.33,9.255261371350985
662,2023-08-18 23:46:00,2023-08-19 00:33:00,Mumbai,Mumbai,437.12,5.12,1630,6499,completed,cash,mini,1.5,3.8,Rain,47.0,23,Friday,8,0,655.6800000000001,128.0625
663,2023-04-11 05:56:00,2023-04-11 06:18:00,Bangalore,Bangalore,423.44,18.49,1197,5672,cancelled,upi,mini,1.0,4.6,Clear,22.0,5,Tuesday,4,0,423.44,22.901027582477017
666,2023-09-04 22:52:00,2023-09-04 23:56:00,Chennai,Chennai,436.95,9.82,1017,5417,completed,upi,suv,1.5,4.1,Fog,64.0,22,Monday,9,0,655.425,66.74389002036659
673,2023-12-06 17:17:00,2023-12-06 17:56:00,Mumbai,Mumbai,332.19,17.78,1844,6922,completed,cash,mini,1.2,5.0,Storm,39.0,17,Wednesday,12,0,398.628,22.420022497187848
677,2023-06-07 07:07:00,2023-06-07 08:07:00,Delhi,Delhi,99.68,14.64,1032,9950,completed,card,suv,1.0,4.5,Storm,60.0,7,Wednesday,6,0,99.68,6.808743169398907
687,2023-02-11 01:01:00,2023-02-11 01:53:00,Hyderabad,Hyderabad,413.48,24.21,1101,5182,completed,cash,sedan,1.0,4.0,Storm,52.0,1,Saturday,2,1,413.48,17.078893019413467
692,2023-05-27 07:17:00,2023-05-27 08:04:00,Chennai,Chennai,278.85,7.84,1819,9746,completed,card,mini,1.0,4.9,Storm,47.0,7,Saturday,5,1,278.85,35.56760204081633
702,2023-07-08 20:47:00,2023-07-08 22:10:00,Hyderabad,Hyderabad,357.03,18.4,1450,8698,completed,upi,mini,1.0,4.0,Rain,83.0,20,Saturday,7,1,357.03,19.403804347826085
715,2023-09-03 05:51:00,2023-09-03 07:01:00,Delhi,Delhi,470.91,10.63,1127,6689,completed,upi,mini,1.2,4.4,Clear,70.0,5,Sunday,9,1,565.092,53.16011288805267
717,2023-05-14 07:22:00,2023-05-14 08:18:00,Pune,Pune,460.13,11.97,1164,5163,completed,upi,suv,1.0,3.1,Storm,56.0,7,Sunday,5,1,460.13,38.44026733500417
720,2023-05-13 04:27:00,2023-05-13 05:09:00,Delhi,Delhi,286.5,1.53,1704,6363,completed,cash,mini,1.0,3.1,Fog,42.0,4,Saturday,5,1,286.5,187.2549019607843
721,2023-11-20 07:45:00,2023-11-20 08:59:00,Delhi,Delhi,410.34,13.72,1568,6351,completed,upi,sedan,1.2,4.9,Fog,74.0,7,Monday,11,0,492.40799999999996,35.88979591836734
722,2023-01-09 06:58:00,2023-01-09 07:10:00,Pune,Pune,454.62,13.62,1275,8363,completed,cash,sedan,2.0,3.5,Storm,12.0,6,Monday,1,0,909.24,66.75770925110133
728,2023-09-05 01:14:00,2023-09-05 01:35:00,Delhi,Delhi,440.83,21.18,1001,5778,completed,card,sedan,1.5,4.2,Fog,21.0,1,Tuesday,9,0,661.245,31.220254957507084
731,2023-12-13 21:22:00,2023-12-13 22:24:00,Hyderabad,Hyderabad,227.36,13.75,1655,7143,completed,card,mini,1.0,3.4,Storm,62.0,21,Wednesday,12,0,227.36,16.53527272727273
762,2023-02-27 11:05:00,2023-02-27 11:16:00,Pune,Pune,289.62,20.98,1257,6258,completed,cash,mini,1.5,4.5,Rain,11.0,11,Monday,2,0,434.43,20.706863679694948
769,2023-09-13 13:55:00,2023-09-13 15:15:00,Pune,Pune,464.59,14.39,1973,7859,completed,cash,mini,1.0,4.1,Storm,80.0,13,Wednesday,9,0,464.59,32.2856150104239
779,2023-08-03 21:19:00,2023-08-03 21:39:00,Chennai,Chennai,432.67,16.34,1743,7441,completed,upi,mini,1.5,3.9,Rain,20.0,21,Thursday,8,0,649.005,39.718788249694
782,2023-08-28 17:06:00,2023-08-28 18:08:00,Delhi,Delhi,321.93,1.22,1470,7672,completed,upi,suv,1.0,3.2,Rain,62.0,17,Monday,8,0,321.93,263.8770491803279
788,2023-10-25 07:27:00,2023-10-25 08:38:00,Delhi,Delhi,132.18,2.86,1004,6198,completed,card,sedan,1.0,4.2,Clear,71.0,7,Wednesday,10,0,132.18,46.21678321678322
793,2023-02-12 16:36:00,2023-02-12 17:52:00,Pune,Pune,362.64,17.06,1283,7984,completed,card,mini,1.0,3.1,Fog,76.0,16,Sunday,2,1,362.64,21.256740914419694
796,2023-04-16 00:22:00,2023-04-16 01:33:00,Pune,Pune,331.58,1.03,1699,6884,completed,card,sedan,1.0,4.6,Clear,71.0,0,Sunday,4,1,331.58,321.92233009708735
802,2023-05-10 06:21:00,2023-05-10 07:47:00,Hyderabad,Hyderabad,295.71,18.47,1936,8918,completed,cash,suv,1.0,4.6,Storm,86.0,6,Wednesday,5,0,295.71,16.01028695181375
808,2023-10-01 13:44:00,2023-10-01 14:11:00,Delhi,Delhi,195.95,14.8,1109,9435,completed,card,mini,1.0,4.3,Fog,27.0,13,Sunday,10,1,195.95,13.239864864864863
821,2023-10-25 13:26:00,2023-10-25 13:47:00,Mumbai,Mumbai,145.15,23.3,1588,6307,cancelled,upi,suv,1.2,4.0,Storm,21.0,13,Wednesday,10,0,174.18,7.475536480686696
841,2023-08-13 02:30:00,2023-08-13 03:24:00,Chennai,Chennai,280.72,23.42,1625,8936,completed,upi,mini,1.5,4.5,Fog,54.0,2,Sunday,8,1,421.08000000000004,17.97950469684031
846,2023-03-04 08:20:00,2023-03-04 09:03:00,Pune,Pune,360.88,11.2,1029,9390,completed,cash,sedan,1.0,3.5,Clear,43.0,8,Saturday,3,1,360.88,32.221428571428575
855,2023-01-27 11:02:00,2023-01-27 11:54:00,Chennai,Chennai,462.07,12.42,1855,5850,completed,cash,sedan,1.2,4.2,Fog,52.0,11,Friday,1,0,554.4839999999999,44.64444444444444
856,2023-02-21 17:00:00,2023-02-21 17:46:00,Bangalore,Bangalore,105.65,18.06,1432,6413,completed,upi,mini,1.2,3.0,Rain,46.0,17,Tuesday,2,0,126.78,7.0199335548172765
